model,model_key,protocol,degree,task,seed,split,geometry_id,beta1,beta2,harmonic_dimension,basis_index,probe_mode,pure_harmonic_identity_error,harmonic_preservation_error,harmonic_to_nonharmonic_leakage,predicted_norm,coefficient_identity_error
Transolver,transolver,B,1,B-k1,0,test_ood,PB_test_ood_0066_b30,3,0,3,0,combined,0.2232165187597274,0.1855533123016357,0.1240789592266082,0.8320449590682983,0.1855532824993133
Transolver,transolver,B,1,B-k1,0,test_ood,PB_test_ood_0132_b30,3,0,3,0,combined,0.2465979009866714,0.2026209384202957,0.1405534446239471,0.8214067220687866,0.2026209831237793
Transolver,transolver,B,1,B-k1,0,test_ood,PB_test_ood_0199_b30,3,0,3,0,combined,0.2727321982383728,0.2358521670103073,0.1369548290967941,0.7896239161491394,0.2358521670103073
Transolver,transolver,C,2,C-k2,0,test_iid,PC_test_iid_0000_b01,0,1,1,0,combined,0.377783328294754,0.3324169814586639,0.179496943950653,0.6912931203842163,0.3324169516563415
Transolver,transolver,C,2,C-k2,0,test_iid,PC_test_iid_0066_b01,0,1,1,0,combined,0.3446551263332367,0.2942670285701751,0.1794269829988479,0.7281847596168518,0.2942670583724975
Transolver,transolver,C,2,C-k2,0,test_iid,PC_test_iid_0132_b01,0,1,1,0,combined,0.3697879314422607,0.3208215832710266,0.1838929653167724,0.7036334276199341,0.3208215236663818
Transolver,transolver,C,2,C-k2,0,test_iid,PC_test_iid_0199_b02,0,2,2,0,combined,0.3607473373413086,0.3318464159965515,0.1414799839258194,0.682974636554718,0.3318465650081634
Transolver,transolver,C,2,C-k2,0,test_ood,PC_test_ood_0000_b03,0,3,3,0,combined,0.4322832524776459,0.3803960084915161,0.2053476423025131,0.6578453779220581,0.3803960978984833
Transolver,transolver,C,2,C-k2,0,test_ood,PC_test_ood_0066_b03,0,3,3,0,combined,0.4076773524284363,0.3747951090335846,0.160404086112976,0.6475992202758789,0.3747950196266174
Transolver,transolver,C,2,C-k2,0,test_ood,PC_test_ood_0132_b03,0,3,3,0,combined,0.4040136635303497,0.3511433899402618,0.1998133957386016,0.7013131380081177,0.3511432409286499
Transolver,transolver,C,2,C-k2,0,test_ood,PC_test_ood_0199_b03,0,3,3,0,combined,0.3441269993782043,0.3116529881954193,0.1459307968616485,0.7045562267303467,0.3116529583930969
Transolver,transolver,D,1,D-k1,0,test_iid,PD_test_iid_0000_b10,1,0,1,0,combined,0.2239459156990051,0.1672583520412445,0.1489174515008926,0.8459521532058716,0.1672583818435669
Transolver,transolver,D,1,D-k1,0,test_iid,PD_test_iid_0066_b21,2,1,2,0,combined,0.2148736119270324,0.1940008550882339,0.0923814624547958,0.8224448561668396,0.1940008103847503
Transolver,transolver,D,1,D-k1,0,test_iid,PD_test_iid_0131_b22,2,2,2,0,combined,0.2076349407434463,0.1411206424236297,0.1523063778877258,0.8735424876213074,0.1411207318305969
Transolver,transolver,D,1,D-k1,0,test_iid,PD_test_iid_0198_b10,1,0,1,0,combined,0.2545548379421234,0.2168937027454376,0.1332490891218185,0.79436194896698,0.2168935537338256
Transolver,transolver,D,1,D-k1,0,test_ood,PD_test_ood_0000_b33,3,3,3,0,combined,0.301028162240982,0.2645928561687469,0.1435568481683731,0.8009210824966431,0.2645928263664245
Transolver,transolver,D,1,D-k1,0,test_ood,PD_test_ood_0066_b33,3,3,3,0,combined,0.2334797978401184,0.2237488776445388,0.0667027607560157,0.7876402139663696,0.2237487435340881
Transolver,transolver,D,1,D-k1,0,test_ood,PD_test_ood_0132_b33,3,3,3,0,combined,0.2551487982273102,0.2336811274290084,0.1024403572082519,0.8084509968757629,0.2336811423301696
Transolver,transolver,D,1,D-k1,0,test_ood,PD_test_ood_0199_b33,3,3,3,0,combined,0.2341487854719162,0.2215318828821182,0.0758239552378654,0.7838472127914429,0.2215318530797958
Transolver,transolver,D,2,D-k2,0,test_iid,PD_test_iid_0001_b01,0,1,1,0,combined,0.395549476146698,0.3403102159500122,0.2016143500804901,0.6898108124732971,0.3403102159500122
Transolver,transolver,D,2,D-k2,0,test_iid,PD_test_iid_0066_b21,2,1,1,0,combined,0.3684455156326294,0.3170439302921295,0.1877104789018631,0.7082825303077698,0.3170439004898071
Transolver,transolver,D,2,D-k2,0,test_iid,PD_test_iid_0133_b11,1,1,1,0,combined,0.3575336635112762,0.3201461434364319,0.1591751128435135,0.6982391476631165,0.3201461434364319
Transolver,transolver,D,2,D-k2,0,test_iid,PD_test_iid_0199_b01,0,1,1,0,combined,0.3571925163269043,0.3047307431697845,0.1863483041524887,0.7198090553283691,0.3047307729721069
Transolver,transolver,D,2,D-k2,0,test_ood,PD_test_ood_0000_b33,3,3,3,0,combined,0.4152866005897522,0.3842377960681915,0.1575574576854705,0.6358337998390198,0.3842377066612243
Transolver,transolver,D,2,D-k2,0,test_ood,PD_test_ood_0066_b33,3,3,3,0,combined,0.4327399432659149,0.3901174664497375,0.1872757524251938,0.639474630355835,0.3901175558567047
Transolver,transolver,D,2,D-k2,0,test_ood,PD_test_ood_0132_b33,3,3,3,0,combined,0.4510336518287658,0.4188697338104248,0.1672707796096801,0.6052284240722656,0.4188697338104248
Transolver,transolver,D,2,D-k2,0,test_ood,PD_test_ood_0199_b33,3,3,3,0,combined,0.37888965010643,0.3446398973464966,0.1574187576770782,0.6741188168525696,0.3446400165557861
GNOT,gnot,A,1,A-k1,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.1290391087532043,0.0895259380340576,0.0929311513900756,0.9152044653892516,0.0895258784294128
GNOT,gnot,A,1,A-k1,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.1882445067167282,0.1158181130886077,0.14839868247509,0.896548867225647,0.1158181428909301
GNOT,gnot,A,1,A-k1,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.112520046532154,0.0843891948461532,0.0744259804487228,0.9186307191848756,0.0843890905380249
GNOT,gnot,A,1,A-k1,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.1492243409156799,0.0922535955905914,0.1172909885644912,0.9152926802635192,0.0922536849975586
GNOT,gnot,A,1,A-k1,0,test_ood,PA_test_ood_0000_b11,1,1,1,0,combined,0.2219464927911758,0.1300125867128372,0.1798804551362991,0.8883890509605408,0.1300127506256103
GNOT,gnot,A,1,A-k1,0,test_ood,PA_test_ood_0066_b11,1,1,1,0,combined,0.1913826763629913,0.1231638416647911,0.1464854776859283,0.8889879584312439,0.1231637597084045
GNOT,gnot,A,1,A-k1,0,test_ood,PA_test_ood_0132_b11,1,1,1,0,combined,0.1559296250343322,0.1158919781446456,0.1043220832943916,0.8902415633201599,0.1158919334411621
GNOT,gnot,A,1,A-k1,0,test_ood,PA_test_ood_0199_b11,1,1,1,0,combined,0.1927705407142639,0.1194335669279098,0.1513145864009857,0.8934726119041443,0.1194335222244262
GNOT,gnot,A,2,A-k2,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.1833716928958892,0.126286119222641,0.1329548507928848,0.8837720155715942,0.1262861490249633
