model,protocol,degree,seed,iid_loss,ood_loss,ood_iid_ratio
GAOT,D,2,0,0.7097922774031759,0.8239636882394552,1.1608518639481165
GAOT,D,2,1,0.708874428384006,0.825326479151845,1.1642774038743509
GAOT,D,2,2,0.7110996625944972,0.8258856208622456,1.1614203525971927
TNO,A,0,0,0.015545309029403143,0.0161221300548641,1.037105793417804
TNO,A,0,1,0.01599483587604482,0.016615727539756334,1.0388182578754317
TNO,A,0,2,0.015305197042180226,0.016044521437725053,1.04830544771866
TNO,A,1,0,0.10356768069323152,0.10882363187149167,1.0507489512469468
TNO,A,1,1,0.10056539813987911,0.10569532627239824,1.0510108668329814
TNO,A,1,2,0.10290199377574026,0.10857082394883037,1.0550896048277207
TNO,A,2,0,0.17779231782536953,0.1796507103787735,1.0104526032178134
TNO,A,2,1,0.17604699119459838,0.1769969871873036,1.005396263726286
TNO,A,2,2,0.17531027568504215,0.17615468409378082,1.0048166509660603
TNO,B,0,0,0.014327619096729905,0.02143282415578142,1.495909684022322
TNO,B,0,1,0.014792179717624095,0.022122413279721514,1.4955478977424697
TNO,B,0,2,0.014396464542369359,0.021592933163046838,1.499877494192966
TNO,B,1,0,0.121592216915451,0.1057530309073627,0.8697351984370673
TNO,B,1,1,0.11905466514639557,0.10448046035133302,0.8775839251898161
TNO,B,1,2,0.12295836472418159,0.10842344406526536,0.8817898994385558
TNO,B,2,0,0.38448473254218696,0.5220746082440019,1.3578552385996707
TNO,B,2,1,0.3848020030371845,0.5193553331121802,1.3496689960368877
TNO,B,2,2,0.3856404543854296,0.521047703847289,1.3511230419994429
TNO,C,0,0,0.012547434676089325,0.015129658416844905,1.2057969463412568
TNO,C,0,1,0.013104173155734316,0.015979668612126262,1.2194335668659602
TNO,C,0,2,0.01375877057260368,0.016520027946680785,1.2006907055762157
TNO,C,1,0,0.16222597301006317,0.18809112696908414,1.1594390434472321
TNO,C,1,1,0.16157417611218988,0.18649334408342838,1.1542274178389482
TNO,C,1,2,0.1632692672032863,0.1887222790159285,1.1558959150649626
TNO,C,2,0,0.18401020676828922,0.14282097352202983,0.7761578883603667
TNO,C,2,1,0.18319621375761927,0.14279251089319586,0.779451212251143
TNO,C,2,2,0.1849217526661232,0.14308748760726303,0.7737731529378695
TNO,D,0,0,0.015954601737321356,0.01958778072614223,1.2277198170557941
TNO,D,0,1,0.01609525920561282,0.019603860763600097,1.2179897517129603
TNO,D,0,2,0.01616660123283509,0.019623538609594107,1.2138320434191092
TNO,D,1,0,0.13759962037671358,0.11893176245037466,0.8643320535679462
TNO,D,1,1,0.13351503148674965,0.11354808541480452,0.8504516993359905
TNO,D,1,2,0.13615816709119827,0.11686817601788789,0.8583265955659494
TNO,D,2,0,0.25215917588211595,0.22510691402480007,0.8927175195481969
TNO,D,2,1,0.2471339243138209,0.22093522344250233,0.8939898642241833
TNO,D,2,2,0.2477990128658712,0.22180535703431814,0.8951018588374163
