model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,B,0,B-k0,log_nk,all,1600,400,274,7.383989457978509,8.155649270366002,7.870143704693032,0.25330373664630723,0.31766768175177235,0.3137575685977935,0.025060545544470677,ok,0.4490900045783818,-0.016698846648537376,0.0024880854442224398,-0.021590241737917522,-0.011807451559157231,6.629064292090933e-11,-0.16878643947523547,0.02848886215084212,-0.1687864394755755,1.0832199761387617e-11,-0.20410489134952642,1.6550101128718704e-16
GAOT,B,0,B-k0,beta_k,all,1600,400,1,1.0,1.0,1.0,0.0,0.31766768175177235,0.3137575685977935,0.025060545544470677,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,beta_total,all,1600,400,4,0.0,3.0,1.9975,1.1568622244584645,0.31766768175177235,0.3137575685977935,0.025060545544470677,ok,0.32415616497719346,-0.003248301990198294,0.0005651541162340005,-0.004359353893704717,-0.002137250086691871,1.7998012287014802e-08,-0.149950361592299,0.02248511094166228,-0.14995036159230254,1.6658178315866563e-09,-0.19887818761631756,9.80746659092484e-16
GAOT,B,0,B-k0,rho_H,all,1600,400,1,0.0,0.0,0.0,0.0,0.31766768175177235,0.3137575685977935,0.025060545544470677,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,log_lambda1_positive,all,1600,400,334,0.4839635920958233,0.78652672909991,0.660299946497459,0.05208200265921611,0.31766768175177235,0.3137575685977935,0.025060545544470677,ok,0.28877026326087235,0.04376407819534799,0.015495967365363537,0.01330013297508175,0.07422802341561424,0.0049772467623503845,0.09095256258103136,0.008272368640026895,0.0909525625808684,0.00026967628969546076,0.15171095467583418,1.067140163499929e-09
GAOT,B,0,B-k0,initial_rayleigh_quotient,all,1600,400,1600,1.7488274411298415,9.601429199906384,3.8133088589809176,2.014902693625446,0.31766768175177235,0.3137575685977935,0.025060545544470677,ok,0.2934607302095752,0.006348017545231395,0.00036077366996319576,0.005638762739801223,0.0070572723506615665,1.0427239912875593e-51,0.5103894337962821,0.26049737413089513,0.5103894337962878,7.48602945898886e-107,0.3866532555286155,3.316725122641237e-58
GAOT,B,0,B-k0,target_norm_retention,all,1600,400,1600,0.3997271106723129,0.8433838536060418,0.7234929861688051,0.11654482536574688,0.31766768175177235,0.3137575685977935,0.025060545544470677,ok,0.39952621652321196,-0.11314350841866885,0.006041582665319488,-0.12502082069098241,-0.10126619614635528,1.3088874124883652e-56,-0.5261773095291247,0.27686256106332463,-0.5261773095291404,1.2465282421551834e-114,-0.3966659938148414,1.9717755972739747e-61
GAOT,B,1,B-k1,log_nk,all,1600,400,318,9.111403624116159,9.91422964906803,9.618079468081744,0.2626740432741036,0.5382899051345881,0.5209733545780175,0.06130636026781167,ok,0.47581562366207897,0.006495504812556679,0.00548235970659032,-0.0042824157806856285,0.017273425405798987,0.2368013957703423,0.02783072596003527,0.0007745493074553522,0.027830725959903338,0.2658912124068752,0.013479868390683694,0.5900263703205723
GAOT,B,1,B-k1,beta_k,all,1600,400,4,0.0,3.0,1.9975,1.1568622244584645,0.5382899051345881,0.5209733545780175,0.06130636026781167,ok,0.5383683400178625,-3.926652479327355e-05,0.0012358834960148363,-0.0024689236241868767,0.0023903905746003296,0.9746697406811957,-0.000740966500386916,5.490313546019365e-07,-0.0007409665003889863,0.9763737030842305,-0.010052847698715214,0.6878240122127866
GAOT,B,1,B-k1,beta_total,all,1600,400,4,0.0,3.0,1.9975,1.1568622244584645,0.5382899051345881,0.5209733545780175,0.06130636026781167,ok,0.5383683400178625,-3.926652479327355e-05,0.0012358834960148363,-0.0024689236241868767,0.0023903905746003296,0.9746697406811957,-0.000740966500386916,5.490313546019365e-07,-0.0007409665003889863,0.9763737030842305,-0.010052847698715214,0.6878240122127866
GAOT,B,1,B-k1,rho_H,all,1600,400,4,0.0,0.5,0.1965625022398308,0.19777088866174766,0.5382899051345881,0.5209733545780175,0.06130636026781167,ok,0.5669698725174588,-0.1459076225427649,0.00712971305069383,-0.15992412004120674,-0.13189112504432307,3.680779160048479e-64,-0.47068982804963844,0.22154891422939849,-0.4706898280496386,5.250878996582735e-89,-0.47535691852521006,5.523523252488674e-91
GAOT,B,1,B-k1,log_lambda1_positive,all,1600,400,341,0.48396371872013666,0.7865796598052194,0.6601380210831935,0.05202854901877113,0.5382899051345881,0.5209733545780175,0.06130636026781167,ok,0.5098886864099743,0.043023152458354544,0.024296773518335275,-0.004742537804146643,0.09078884272085573,0.07736818549764503,0.03651223440509534,0.0013331432612549987,0.03651223440512791,0.1443355050672812,0.03788740269791101,0.12980898057364101
GAOT,B,1,B-k1,initial_rayleigh_quotient,all,1600,400,1600,4.040722026297464,17.302904387338785,9.461190744080676,2.805127875532731,0.5382899051345881,0.5209733545780175,0.06130636026781167,ok,0.38017064671145595,0.016712405732022477,0.0005025609786237299,0.015724407386281412,0.01770040407776354,4.479939344262071e-117,0.7646912160714812,0.5847526559368827,0.7646912160714825,2.7770833977788505e-307,0.770812721096873,3.126797284e-315
GAOT,B,1,B-k1,target_norm_retention,all,1600,400,1600,0.3002410380880237,0.8294970829195383,0.6106806439661167,0.13646261769953813,0.5382899051345881,0.5209733545780175,0.06130636026781167,ok,0.7101723588817306,-0.2814604580077045,0.012979251696962766,-0.30697672319939007,-0.2559441928160189,1.8521638763552303e-69,-0.6265064621493844,0.3925103471149216,-0.6265064621493712,3.550653916912027e-175,-0.609398114957319,2.7201012778321565e-163
GAOT,B,2,B-k2,log_nk,all,1600,400,329,9.543378146148761,10.357552330480354,10.05700041393879,0.26563318777746764,0.6018661620281633,0.624209463596344,0.138239198391268,ok,-3.449069566301534,0.40279760978384427,0.007798690384329003,0.38746595148485674,0.4181292680828318,8.621806984170996e-179,0.7739947450591232,0.5990678653785276,0.7739947450587293,1.8399e-319,0.7275368067845394,8.98201248291136e-264
GAOT,B,2,B-k2,beta_k,all,1600,400,1,0.0,0.0,0.0,0.0,0.6018661620281633,0.624209463596344,0.138239198391268,constant_predictor,,,,,,,,,,,,
