model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,A,0,A-k0,rho_H,iid,800,200,1,0.0,0.0,0.0,0.0,0.31894027054309804,0.31413663923740354,0.023449515177784284,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,rho_H,ood,800,200,1,0.0,0.0,0.0,0.0,0.32049364283680876,0.31496481597423553,0.025019871143376653,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,log_lambda1_positive,all,1600,400,400,0.5911348066758972,0.7538510155881601,0.684904804429579,0.034406063767318584,0.31971695668995337,0.314737126231193,0.024252273817982395,ok,0.32581700215383197,-0.008906413598533027,0.01923803200978298,-0.046726985846363644,0.028914158649297587,0.6436463920140634,-0.012635295004051448,0.00015965067983936265,-0.012635295004048842,0.6135328736496409,-0.006279770850828603,0.8018164322269346
GAOT,A,0,A-k0,log_lambda1_positive,iid,800,200,200,0.5954494520463843,0.7538510155881601,0.6852804259716637,0.03580301041419787,0.31894027054309804,0.31413663923740354,0.023449515177784284,ok,0.3093247745864403,0.014031476155235723,0.02805534574284829,-0.04129244648355336,0.0693553987940248,0.6175322332813757,0.021423431704396624,0.00045896342599049955,0.021423431704338435,0.5451337332019045,0.02957186150331616,0.40355253921709855
GAOT,A,0,A-k0,log_lambda1_positive,ood,800,200,200,0.5911348066758972,0.7538033002606008,0.6845291828874942,0.03296813507681577,0.32049364283680876,0.31496481597423553,0.025019871143376653,ok,0.3447420630324669,-0.03542350100163171,0.025838528081000622,-0.08637595554473265,0.015528953541469229,0.17193264533698363,-0.04667676980521418,0.002178720839443482,-0.0466767698051548,0.18721157789554982,-0.0434621397345277,0.21946458873181934
GAOT,A,0,A-k0,initial_rayleigh_quotient,all,1600,400,1600,1.9058051657219186,9.483124457550876,3.8709239840100538,1.9549361874885733,0.31971695668995337,0.314737126231193,0.024252273817982395,ok,0.2933811567530161,0.006803491891270649,0.00036763078734452695,0.006080756491609185,0.007526227290932113,1.192540959875021e-55,0.5484183709680941,0.30076270961529494,0.5484183709680914,2.6024556716497936e-126,0.403532726965909,1.0407399466602714e-63
GAOT,A,0,A-k0,initial_rayleigh_quotient,iid,800,200,800,1.9058051657219186,9.183459701111824,3.857903564960899,1.9311303017306383,0.31894027054309804,0.31413663923740354,0.023449515177784284,ok,0.2931501372767249,0.006685012425040935,0.0005161421124385938,0.005667202608654943,0.007702822241426928,3.1637115725572406e-28,0.5505286554356038,0.3030818004557392,0.5505286554356088,1.3750666203817966e-64,0.4068863701349533,2.992324046169524e-33
GAOT,A,0,A-k0,initial_rayleigh_quotient,ood,800,200,800,1.9086632860459276,9.483124457550876,3.8839444030592087,1.9795783549606447,0.32049364283680876,0.31496481597423553,0.025019871143376653,ok,0.2936491214281409,0.00691166469518048,0.0005266582432568393,0.0058731175258072655,0.007950211864553695,9.391333681639324e-29,0.5468526096285246,0.29904777665753335,0.54685260962853,1.3846742183798447e-63,0.3988271387924044,6.726618522885136e-32
GAOT,A,0,A-k0,target_norm_retention,all,1600,400,1600,0.4143438152804424,0.8281922245454145,0.719969085278326,0.11255047190149724,0.31971695668995337,0.314737126231193,0.024252273817982395,ok,0.4060246753926141,-0.11987697870290398,0.006129022533904646,-0.13192619139962083,-0.10782776600618711,3.1938861823193414e-60,-0.5563276509410624,0.30950045520160274,-0.5563276509410644,1.110972985016184e-130,-0.4022804022579696,2.733479779744749e-63
GAOT,A,0,A-k0,target_norm_retention,iid,800,200,800,0.424533116512869,0.8276397681899487,0.7209072654355037,0.11112600418005994,0.31894027054309804,0.31413663923740354,0.023449515177784284,ok,0.4037216529325143,-0.11760372859912875,0.008730560355652383,-0.1348200142274218,-0.10038744297083571,8.065372087089107e-30,-0.5573178096355114,0.31060314093690256,-0.5573178096354923,1.7895910538375808e-66,-0.408875420117844,1.369747757972754e-33
GAOT,A,0,A-k0,target_norm_retention,ood,800,200,800,0.4143438152804424,0.8281922245454145,0.7190309051211483,0.11401894757919251,0.32049364283680876,0.31496481597423553,0.025019871143376653,ok,0.408172521758043,-0.1219403481780241,0.008660044941722187,-0.13901758047434704,-0.10486311588170116,1.0658801394906728e-31,-0.5556987119167957,0.3088010584259756,-0.5556987119167864,5.08603239338099e-66,-0.39508060168844017,2.777521537619063e-31
GAOT,A,1,A-k1,log_nk,all,1600,400,360,9.477998292597036,9.666498594399865,9.597116032256835,0.03324862117039561,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.9441672964229986,-0.04260886219967272,0.03698104691340565,-0.11531091175846488,0.030093187359119436,0.24993653714265016,-0.02007594804382038,0.0004030436898972978,-0.020075948044794505,0.42226887893576953,-0.03603908269034456,0.14961159385413708
