scope,task,protocol,degree,metric,median,mean,q25,q75,minimum,maximum
all,A-k0,A,0,rho_q_error,-0.8897532689465895,-0.8178733770989756,-0.9160829469562293,-0.8702978445987675,-0.9367811130004349,-0.4022804022579696
all,A-k1,A,1,rho_q_error,-0.8171531541613883,-0.8242316558123672,-0.8607388675898,-0.7669237895698396,-0.9385379740382711,-0.7470975457412288
all,A-k2,A,2,rho_q_error,-0.7183875682178,-0.7682646668804054,-0.8632756848733145,-0.7095511160355923,-0.9172892880036282,-0.6373462211098614
all,B-k0,B,0,rho_q_error,-0.753855137736382,-0.6705909089222301,-0.7608955208576255,-0.5950538630581497,-0.8138067641823298,-0.3966659938148414
all,B-k1,B,1,rho_q_error,-0.5446900794478087,-0.5350127093078697,-0.6574456342456211,-0.4221094109802387,-0.9450261826274151,-0.09938990698824493
all,B-k2,B,2,rho_q_error,-0.28285275941514043,-0.30661199942946166,-0.34661266029791415,-0.22460925204462973,-0.5331538889273004,-0.167751878639224
all,C-k0,C,0,rho_q_error,-0.856354701212774,-0.7717169133167129,-0.8814351548574824,-0.7676293977556241,-0.893354065763307,-0.39638840903579586
all,C-k1,C,1,rho_q_error,-0.3926885796635077,-0.3639655098498085,-0.7629715626842043,-0.12667088346518887,-0.8735823939774977,0.3995640359625141
all,C-k2,C,2,rho_q_error,-0.14697690848707362,-0.26089369761472564,-0.34468677673311593,-0.1060890231304778,-0.9566173609833443,0.18825878642921345
all,D-k0,D,0,rho_q_error,-0.8105598312733716,-0.7412393798786642,-0.8270895572127177,-0.7481396257381352,-0.8543919372624756,-0.4119923230438762
all,D-k1,D,1,rho_q_error,-0.5730901301133321,-0.5355574338940313,-0.6719471183194945,-0.3483027705772542,-0.9509827962823424,-0.13790844840173766
all,D-k2,D,2,rho_q_error,-0.3448303461251352,-0.31308985521088095,-0.5462253290919254,-0.15628056104709415,-0.9240030269543076,0.4419122107078949
iid,A-k0,A,0,rho_q_error,-0.8883506067978232,-0.8163421817846591,-0.9088465040570377,-0.8701475158554937,-0.932718168309638,-0.408875420117844
iid,A-k1,A,1,rho_q_error,-0.8220326789573109,-0.8306601729065202,-0.8668428349106796,-0.7784966050728204,-0.9361704471413238,-0.7579610983767163
iid,A-k2,A,2,rho_q_error,-0.8021716401119378,-0.811378627154105,-0.9006286650447892,-0.7401518400810002,-0.9201180314344242,-0.6908842045065696
iid,B-k0,B,0,rho_q_error,-0.7446387220917534,-0.6833488333575523,-0.7673773103551725,-0.675058558685248,-0.8248212887832637,-0.3591722565191509
iid,B-k1,B,1,rho_q_error,-0.44606050303347033,-0.5348824377751206,-0.6180946754455227,-0.3986125915821744,-0.933627896293588,-0.325309703608912
iid,B-k2,B,2,rho_q_error,-0.4396587377480278,-0.4705838563810256,-0.5269339659124468,-0.39897835777868407,-0.7186390291234831,-0.2841026939104592
iid,C-k0,C,0,rho_q_error,-0.8430856337275527,-0.7705843720068314,-0.8827412074081366,-0.747958104231413,-0.8964126037696935,-0.42871370111515805
iid,C-k1,C,1,rho_q_error,-0.3905569227451918,-0.3750922384253726,-0.7571287904356102,-0.15146672104175166,-0.8594535069586048,0.3411033220364407
iid,C-k2,C,2,rho_q_error,-0.05544980148406484,-0.14197360464625727,-0.20268004129693956,0.006965747212105021,-0.9506444619444718,0.43368829482546073
iid,D-k0,D,0,rho_q_error,-0.7966087173573709,-0.7319924679569813,-0.8210957575714963,-0.7491133697083903,-0.8583273801990317,-0.37787030135984595
iid,D-k1,D,1,rho_q_error,-0.5355946454603836,-0.5229002193753428,-0.6753755982431222,-0.27933593255614464,-0.9481027079729814,-0.20222370659954156
iid,D-k2,D,2,rho_q_error,-0.1611429783484037,-0.17887196308119233,-0.3493499189061233,-0.0700833848959139,-0.9130864423225662,0.6139563733693334
ood,A-k0,A,0,rho_q_error,-0.894676327619262,-0.8204319459874156,-0.9228832213019085,-0.8721692553425865,-0.9412060018843781,-0.39508060168844017
ood,A-k1,A,1,rho_q_error,-0.8187651347892732,-0.8225058007903138,-0.8610381949815549,-0.7619590557953997,-0.9481587705605791,-0.7311928534263337
ood,A-k2,A,2,rho_q_error,-0.7658114192365926,-0.7928497153901803,-0.8847916285806698,-0.7357709484702321,-0.9252944692101082,-0.6499718280809814
