scope,degree,metric,median,mean,q25,q75,minimum,maximum
iid,0,partial_rho_J_error_given_R_q,-0.12960834091831236,-0.13419206753692728,-0.1902337733304565,-0.08568528510020088,-0.23264523103705384,-0.02645941805994569
iid,1,partial_rho_J_error_given_R_q,0.06654676250854842,0.07852149422809417,-0.10927794394151068,0.23518935695917378,-0.18713127339916658,0.48328220834159047
iid,2,partial_rho_J_error_given_R_q,0.3310986031342793,0.19944115321913114,-0.050944518122756785,0.4453651796946991,-0.46832965136902793,0.6249775723414109
ood,0,partial_rho_J_error_given_R_q,-0.10010078067414743,-0.11787847834593995,-0.1432364101051239,-0.07158345085234269,-0.2752800498662562,-0.014743159140345975
ood,1,partial_rho_J_error_given_R_q,-0.025464485790684638,0.07800973796857476,-0.13517679591929416,0.27860624752662766,-0.21016587572849746,0.775861683308797
ood,2,partial_rho_J_error_given_R_q,-0.010792664230223285,0.0005966619536639794,-0.17834019516904606,0.26863053398858716,-0.427340829679442,0.41230003651976077
all,0,delta_rank_R2_J_over_R,0.00034133893657228853,0.009694715319424466,0.00011949311131512208,0.0030907160177540693,3.5917157659159926e-07,0.06156038931505381
all,1,delta_rank_R2_J_over_R,0.038460180973006686,0.08231002569989242,0.004079236929090263,0.09635737668892017,0.0010287578142414988,0.6803802282218802
all,2,delta_rank_R2_J_over_R,0.0856020081365042,0.12526769016527006,0.004275621970100618,0.16661263008628757,5.6479693029798383e-05,0.44102208536531007
iid,0,delta_rank_R2_J_over_R,0.0006347076520750172,0.008995025319215491,0.00025513935893534123,0.0026704848747005627,2.3098612149663467e-06,0.05816198201252909
iid,1,delta_rank_R2_J_over_R,0.03942704415262388,0.08264329245272468,0.005460513924848975,0.1273545711339703,3.1813498719834854e-06,0.5699480204689888
iid,2,delta_rank_R2_J_over_R,0.0944247979551443,0.19204042841525493,0.03205637302819872,0.2936313977288132,0.0006806841097927174,0.6304950901422374
ood,0,delta_rank_R2_J_over_R,0.0002417059443362013,0.00933985425491439,3.763168426884622e-05,0.0019795710282178858,2.0293060176701516e-06,0.05776307085347576
ood,1,delta_rank_R2_J_over_R,0.04149809668638893,0.08863658637554661,0.006367335244268607,0.07335008448561844,0.00013461378520363,0.8802850696455533
ood,2,delta_rank_R2_J_over_R,0.04319365308586848,0.05419927946045677,0.012397134351220751,0.07558276058156646,0.0002608818664424639,0.23055383669964413
all,0,delta_rank_R2_J_over_q,0.0018483801020031665,0.009530200141590811,0.0005308823483838321,0.005627112577408361,2.203103771969417e-06,0.05918971571563203
all,1,delta_rank_R2_J_over_q,0.09319362493587424,0.12137335237520075,0.015134778529835496,0.17071931806971866,0.0010157065991719394,0.5418518755322682
all,2,delta_rank_R2_J_over_q,0.29809353193546706,0.32053172833420646,0.0878429292526563,0.520455654734333,0.0002613670343342145,0.7441418465575069
iid,0,delta_rank_R2_J_over_q,0.002502826237735567,0.009539041185743622,0.0003167482253600973,0.006530314905395185,2.6016298337872e-08,0.05527431858972798
iid,1,delta_rank_R2_J_over_q,0.1116093756920657,0.13139615687992934,0.027028388408701698,0.18286022582607206,0.0012573553286097106,0.48158230949880676
