model,protocol,degree,task,scope,n,rho_J_error,p_J_error,rho_R_error,p_R_error,rho_q_error,p_q_error,rho_R_q,partial_rho_J_error_given_R,partial_p_J_error_given_R,partial_rho_J_error_given_q,partial_p_J_error_given_q,partial_rho_J_error_given_R_q,partial_p_J_error_given_R_q,rank_R2_R,rank_R2_q,rank_R2_R_q,rank_R2_R_J,rank_R2_q_J,rank_R2_R_q_J,J_median,J_q25,J_q75,delta_rank_R2_J_over_R,delta_rank_R2_J_over_q,delta_rank_R2_J_over_R_q
GNOT,C,0,C-k0,all,1600,0.6090289224722354,4.820184791073026e-163,0.7511084301204807,1.7515763913089287e-290,-0.7419784949134746,8.624365891779845e-280,-0.9987891948395293,-0.10202595410353575,4.34131496349546e-05,-0.060128878149616136,0.01615247149109719,-0.17882171168263764,5.786082323119561e-13,0.5641638737980528,0.550532086914065,0.5920863593266101,0.5687006207427763,0.5521571300578005,0.605130297260953,0.03430347642815994,0.014050822173498491,0.07378847334816988,0.004536746944723502,0.0016250431437355717,0.013043937934342886
GNOT,C,0,C-k0,iid,800,0.5728433247551951,5.935454778358355e-71,0.7337507558605562,4.271038774534029e-136,-0.7247951324923946,2.9590754967106357e-131,-0.9988467325730197,-0.11741447143362785,0.0008769023246928786,-0.0796905253237801,0.024193041588680988,-0.1904366499744791,5.708937095694902e-08,0.5383901717259374,0.5253279840846679,0.5669180364284034,0.5447539977999782,0.5283424266130867,0.5826242378729007,0.0361734059734302,0.014531265110079607,0.07438755495151401,0.006363826074040846,0.0030144425284188703,0.015706201444497303
GNOT,C,0,C-k0,ood,800,0.7635442477253871,1.0044825164387754e-153,0.8863942756160558,3.8465290722461964e-269,-0.8809719546436793,1.4733340015026749e-261,-0.9987253495708588,-0.0465045633436828,0.18884555254915522,0.00269697506628382,0.9392895489781777,-0.09707563626972426,0.0059975959955747,0.7856948118449121,0.7761115848687047,0.7929270374432209,0.7861582841916481,0.7761132133601625,0.794878426604481,0.03207794106716522,0.013743558288018806,0.0730414480970383,0.0004634723467360491,1.6284914577946452e-06,0.001951389161260142
GNOT,C,1,C-k1,all,1600,0.17930943430056032,4.996040276872743e-13,0.42753418946648025,4.21143212332247e-72,-0.2561690863941744,2.163277606205418e-25,-0.7348372206395395,0.10231596970788724,4.127850640416534e-05,0.3348468473280583,3.215408071618948e-43,0.039995533977729716,0.10977374414091018,0.18278548316276022,0.06562260082402604,0.1900980349635455,0.1913405404506252,0.17038724775822245,0.1913935887605407,0.38049596193983204,0.3117889280467877,0.46832381600280937,0.008555057287864987,0.1047646469341964,0.001295553796995197
GNOT,C,1,C-k1,iid,800,0.10736974589022796,0.002358555570595667,0.4108816029400046,6.1947256503798255e-34,-0.29224128475200745,3.23397036538978e-17,-0.7231047001635941,0.01555735648802489,0.6603956039997739,0.26975898941086035,8.33649374337871e-15,0.018640244250934707,0.5985776113713407,0.16882369163454758,0.08540496851350388,0.16887338244968775,0.1690248623509818,0.15195996880695584,0.1691621646285233,0.39674682802795425,0.3267425167327833,0.49174573977353203,0.00020117071643421802,0.06655500029345196,0.0002887821788355449
GNOT,C,1,C-k1,ood,800,0.46359712280800447,7.126011934501343e-44,0.7123214411272518,7.984064065622063e-125,-0.3115190804985633,1.8337821010753487e-19,-0.7526643322880193,0.49665913835691466,4.678995226929512e-51,0.7138890762785775,1.2971613212790912e-125,0.15886514517792094,6.329812147210024e-06,0.5074018354896048,0.09704413751467034,0.6237905339437422,0.6289111723676709,0.557224408123622,0.6332853589927154,0.3648579708905231,0.29834421484328194,0.4439330873950113,0.12150933687806609,0.4601802706089516,0.009494825048973254
GNOT,C,2,C-k2,all,1600,0.6280739963179675,2.6550538833356892e-176,0.49092430211886806,8.286056224493122e-98,-0.10384512552543967,3.1572832583630655e-05,-0.8437589370152099,0.7159104477953205,1.308946812505121e-251,0.7596927092305847,5.70254665671827e-301,0.3838452314717338,2.5436756606973198e-57,0.24100667041089763,0.010783810095394197,0.5754162703070989,0.6300118285103149,0.5816931297473691,0.6379732319540664,0.8992186385424108,0.5346233753835151,1.1306250178464852,0.38900515809941727,0.5709093196519749,0.06255696164696756
GNOT,C,2,C-k2,iid,800,0.6006416494400774,1.3437760005694655e-79,0.44720537844590386,1.357210233561147e-40,-0.07883951381174036,0.025753870613845757,-0.8536181931534269,0.7704079391589544,3.687792912220399e-158,0.801602598248734,1.867836740010614e-180,0.5444047526315934,6.34434345873094e-63,0.19999265051094395,0.006215668938071572,0.5381354506625702,0.6748197268166883,0.6447884124207452,0.6750212652903709,0.7201685808129796,0.2831087248535176,0.966256452261441,0.4748270763057444,0.6385727434826737,0.1368858146278007
GNOT,C,2,C-k2,ood,800,0.4460579000904689,2.2679039489896756e-40,0.6534035521930504,1.4384075000510142e-98,-0.5030466453853835,1.547221192315717e-52,-0.910319172373707,0.44336975073993823,7.493111104832906e-40,0.603047927889412,2.1860170180888502e-80,0.35216135683810407,9.035661472232462e-25,0.42693620201849614,0.2530559274334877,0.47608275742728856,0.5395872128716501,0.5246946905713226,0.5410577275830439,1.0332497087189123,0.8386838553702052,1.2621302581758351,0.11265101085315399,0.27163876313783486,0.06497497015575537
GNOT,D,0,D-k0,all,1600,0.6007571370145066,1.463623318923639e-157,0.7524342079821126,4.4870475162155885e-292,-0.7328357540374041,1.577238855640351e-269,-0.9975581894758554,-0.07754367255033545,0.0019092504432661132,-0.0021814718260993304,0.9305198669302758,-0.23637266394438183,9.36855904200614e-22,0.5661572373416689,0.5370482423955705,0.6308314082702721,0.5687659430504332,0.5370504454993424,0.6514576092135089,0.03441527478362369,0.014399702891077747,0.0716745907534315,0.0026087057087642584,2.203103771969417e-06,0.02062620094323686
GNOT,D,0,D-k0,iid,800,0.6101981878096685,9.03593383303433e-83,0.7565322523941445,2.396069556248733e-149,-0.7391349673983867,4.212522635534932e-139,-0.9967597136870527,-0.0722689208785188,0.04099800189587835,0.005782483291910775,0.8702830565362908,-0.19016614778244897,5.965491981473133e-08,0.5723410489125573,0.546320500031014,0.6068661674533751,0.5745746247672223,0.5463356697637298,0.6210831306203051,0.03608274407389031,0.015078823499830196,0.0718830104286594,0.002233575854664993,1.5169732715869522e-05,0.014216963166929997
GNOT,D,0,D-k0,ood,800,0.7643643271317612,3.0200234499957195e-154,0.9285050132890833,0.0,-0.9240848813826273,0.0,-0.9992675769805891,-0.05358079478119133,0.12997210866627829,-0.004769547887495473,0.8928545965947243,-0.14117205442736225,6.155006982267827e-05,0.8621215597029607,0.8539328679999441,0.8716742864888817,0.8625173951335937,0.8539361908208117,0.8742317600780045,0.033051242305661005,0.013838395323240743,0.07127635498994045,0.0003958354306330403,3.3228208676794324e-06,0.0025574735891228384
GNOT,D,1,D-k1,all,1600,0.3693530485754096,6.855287297643817e-53,0.22603035684779565,5.545097380981609e-20,-0.13790844840173766,3.050565617708453e-08,-0.9392648825253448,0.3116495334038125,2.2399501922423696e-37,0.3578734674829125,1.5416284381074869e-49,0.22947728588694893,1.4549545264598718e-20,0.051089722216741906,0.019018740140574808,0.09807891378751932,0.14325304256331284,0.1446563637991104,0.1455739201150118,0.3967037061656719,0.33200354623787554,0.4778460344492761,0.09216332034657093,0.1256376236585356,0.047495006327492484
